depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
5155.75,0.01169,0.00112,0,0,0,0.04543,0,0.11527,0.82648,0.00125,25.75993103
5156.25,0.00974,0.00006,0,0,0,0.04752,0,0.11839,0.82428,0.00007,25.97606897
5156.75,0.0113,0,0,0,0,0.05021,0,0.12247,0.81603,0,26.63110345
5157.25,0.01533,0,0,0,0.00044,0.05387,0,0.12582,0.80454,0.00049,25.95806897
5157.75,0.01465,0,0,0,0.00625,0.06087,0,0.12472,0.79351,0.00703,25.87324138
5158.25,0.00825,0.00007,0,0,0.02074,0.07113,0,0.11966,0.78015,0.02342,26.93303448
5158.75,0.00316,0.0001,0,0,0.03985,0.07744,0,0.10882,0.77063,0.04496,27.512
5159.25,0.00173,0.00058,0,0,0.04386,0.07692,0.01273,0.09866,0.76552,0.06361,28.21662069
5159.75,0.00303,0.00143,0,0,0.03391,0.06935,0.00581,0.09488,0.7916,0.04596,29.90441379
5160.25,0.00488,0.00352,0,0,0.02216,0.06351,0,0.09713,0.80879,0.02887,29.48406897
5160.75,0.00551,0.00816,0,0,0.02509,0.07003,0,0.10115,0.79005,0.03735,26.35351724
5161.25,0.00347,0.01618,0,0,0.04634,0.09004,0,0.0998,0.74416,0.07022,25.30648276
5161.75,0,0.02652,0,0,0.0692,0.11614,0,0.09537,0.69276,0.1075,25.57234483
5162.25,0,0.03112,0,0,0.08317,0.12985,0,0.09101,0.66484,0.12836,26.53
5162.75,0,0.02754,0,0,0.08081,0.12304,0,0.09646,0.67216,0.1217,25.68441379
5163.25,0,0.0223,0,0,0.06721,0.1077,0,0.105,0.69779,0.10054,24.47524138
5163.75,0,0.02219,0,0,0.05846,0.10776,0,0.11167,0.69991,0.09057,24.19586207
5164.25,0,0.0329,0,0,0.06797,0.13284,0,0.10383,0.66245,0.11325,25.44641379
5164.75,0,0.05521,0,0,0.08499,0.17522,0,0.08973,0.59485,0.15731,25.97213793
5165.25,0,0.06967,0,0,0.10476,0.19703,0,0.08404,0.54449,0.19572,26.59062069
5165.75,0,0.05507,0,0,0.11356,0.1739,0.01872,0.09629,0.54246,0.20932,26.25337931
5166.25,0,0.02873,0,0,0.09567,0.13351,0.01872,0.11287,0.61049,0.15975,24.42351724
5166.75,0.00338,0.01259,0,0,0.06151,0.10229,0,0.11864,0.70159,0.08328,24.14475862
5167.25,0.0059,0.00903,0,0,0.03346,0.08856,0,0.11931,0.74373,0.04774,26.57986207
5167.75,0.00451,0.01178,0,0,0.0311,0.0863,0,0.11776,0.74854,0.04816,27.42482759
5168.25,0,0.01774,0,0,0.04326,0.09841,0,0.11758,0.72302,0.06849,24.67013793
